Anchor_O_X,Anchor_O_Y,SPEED,Connector_A_X,Connector_A_Y,SPEED,Anchor_Q_X,Anchor_Q_Y,SPEED,Connector_B_X,Connector_B_Y,SPEED
0,0,0,86.64970372,83.01703948,37.69893959,0,85,0,-26.65748488,181.3098724,68.32733292
0,0,0,87.51428918,82.10511061,37.69893959,0,85,0,-24.48579786,181.8847704,67.3947993
0,0,0,88.36927771,81.18417799,37.69893959,0,85,0,-22.33097649,182.4040067,66.49492686
0,0,0,89.21457555,80.25434262,37.69893959,0,85,0,-20.19353451,182.8694753,65.62611776
0,0,0,90.05009001,79.31570644,37.69893959,0,85,0,-18.07393163,183.2829895,64.78687634
0,0,0,90.87572946,78.36837241,37.69893959,0,85,0,-15.97257834,183.6462861,63.97580069
0,0,0,91.69140337,77.4124444,37.69893959,0,85,0,-13.88984027,183.9610295,63.19157502
0,0,0,92.49702227,76.44802725,37.69893959,0,85,0,-11.82604209,184.2288152,62.43296287
0,0,0,93.29249784,75.47522671,37.69893959,0,85,0,-9.781471163,184.4511732,61.69880095
0,0,0,94.07774283,74.49414945,37.69893959,0,85,0,-7.756380796,184.6295718,60.98799362
0,0,0,94.85267114,73.50490308,37.69893959,0,85,0,-5.750993245,184.7654204,60.29950787
0,0,0,95.61719779,72.50759606,37.69893959,0,85,0,-3.765502448,184.8600722,59.63236875
0,0,0,96.37123893,71.50233777,37.69893959,0,85,0,-1.800076513,184.9148275,58.98565524
0,0,0,97.11471188,70.48923845,37.69893959,0,85,0,0.145140006,184.930936,58.35849647
0,0,0,97.8475351,69.46840918,37.69893959,0,85,0,2.070024031,184.9095993,57.75006829
0,0,0,98.56962824,68.43996192,37.69893959,0,85,0,3.974472064,184.8519734,57.15959012
0,0,0,99.28091212,67.40400944,37.69893959,0,85,0,5.858398452,184.759171,56.58632202
0,0,0,99.98130872,66.36066536,37.69893959,0,85,0,7.721733808,184.6322631,56.02956208
0,0,0,100.6707412,65.31004408,37.69893959,0,85,0,9.564423557,184.4722817,55.48864395
0,0,0,101.3491341,64.25226082,37.69893959,0,85,0,11.38642662,184.2802212,54.96293463
0,0,0,102.0164128,63.18743158,37.69893959,0,85,0,13.18771422,184.0570402,54.45183235
0,0,0,102.6725044,62.11567312,37.69893959,0,85,0,14.96826872,183.8036637,53.95476466
0,0,0,103.3173367,61.03710298,37.69893959,0,85,0,16.72808271,183.5209839,53.4711867
0,0,0,103.9508391,59.95183943,37.69893959,0,85,0,18.467158,183.2098626,53.00057949
0,0,0,104.5729421,58.86000149,37.69893959,0,85,0,20.1855048,182.8711317,52.54244845
0,0,0,105.1835776,57.76170888,37.69893959,0,85,0,21.88314099,182.5055956,52.09632199
0,0,0,105.7826784,56.65708205,37.69893959,0,85,0,23.56009136,182.1140315,51.66175014
0,0,0,106.370179,55.54624214,37.69893959,0,85,0,25.21638699,181.6971916,51.23830339
0,0,0,106.9460149,54.42931095,37.69893959,0,85,0,26.8520647,181.2558032,50.82557148
0,0,0,107.510123,53.30641098,37.69893959,0,85,0,28.46716644,180.7905708,50.42316241
0,0,0,108.0624414,52.17766535,37.69893959,0,85,0,30.06173888,180.3021767,50.03070137
0,0,0,108.6029095,51.04319786,37.69893959,0,85,0,31.63583289,179.7912818,49.64782984
0,0,0,109.1314681,49.90313291,37.69893959,0,85,0,33.18950321,179.258527,49.27420476
0,0,0,109.6480592,48.75759551,37.69893959,0,85,0,34.72280801,178.7045337,48.90949763
0,0,0,110.1526261,47.6067113,37.69893959,0,85,0,36.23580861,178.129905,48.55339381
0,0,0,110.6451136,46.45060647,37.69893959,0,85,0,37.72856913,177.5352263,48.20559178
0,0,0,111.1254676,45.28940781,37.69893959,0,85,0,39.20115624,176.921066,47.86580248
0,0,0,111.5936354,44.12324266,37.69893959,0,85,0,40.6536389,176.2879766,47.53374865
0,0,0,112.0495657,42.9522389,37.69893959,0,85,0,42.08608811,175.6364949,47.20916428
0,0,0,112.4932085,41.77652494,37.69893959,0,85,0,43.49857674,174.9671432,46.89179401
0,0,0,112.9245152,40.59622971,37.69893959,0,85,0,44.89117932,174.2804293,46.58139261
0,0,0,113.3434384,39.41148265,37.69893959,0,85,0,46.26397185,173.5768476,46.27772451
0,0,0,113.7499323,38.22241367,37.69893959,0,85,0,47.61703169,172.8568798,45.9805633
0,0,0,114.1439522,37.02915318,37.69893959,0,85,0,48.95043738,172.1209946,45.68969132
0,0,0,114.5254549,35.83183202,37.69893959,0,85,0,50.26426857,171.3696494,45.40489921
0,0,0,114.8943986,34.6305815,37.69893959,0,85,0,51.55860582,170.6032896,45.12598555
0,0,0,115.2507428,33.42553335,37.69893959,0,85,0,52.83353059,169.8223501,44.85275647
0,0,0,115.5944485,32.2168197,37.69893959,0,85,0,54.0891251,169.0272549,44.58502529
0,0,0,115.925478,31.00457313,37.69893959,0,85,0,55.32547228,168.2184183,44.32261222
0,0,0,116.2437949,29.78892655,37.69893959,0,85,0,56.54265567,167.3962446,44.06534401
0,0,0,116.5493644,28.57001328,37.69893959,0,85,0,57.74075936,166.5611288,43.81305368
0,0,0,116.8421529,27.34796698,37.69893959,0,85,0,58.91986798,165.7134573,43.56558022
0,0,0,117.1221284,26.12292167,37.69893959,0,85,0,60.08006659,164.8536075,43.32276831
0,0,0,117.3892601,24.89501169,37.69893959,0,85,0,61.22144069,163.9819488,43.08446813
0,0,0,117.6435188,23.66437169,37.69893959,0,85,0,62.34407615,163.0988425,42.85053502
0,0,0,117.8848765,22.43113663,37.69893959,0,85,0,63.4480592,162.2046424,42.62082935
0,0,0,118.1133068,21.19544174,37.69893959,0,85,0,64.5334764,161.299695,42.39521624
0,0,0,118.3287847,19.95742253,37.69893959,0,85,0,65.60041461,160.3843394,42.17356538
0,0,0,118.5312865,18.71721476,37.69893959,0,85,0,66.64896099,159.4589083,41.95575081
0,0,0,118.72079,17.47495444,37.69893959,0,85,0,67.67920297,158.5237276,41.74165077
0,0,0,118.8972744,16.2307778,37.69893959,0,85,0,68.69122824,157.5791168,41.5311475
0,0,0,119.0607204,14.98482127,37.69893959,0,85,0,69.68512476,156.6253895,41.32412707
0,0,0,119.21111,13.73722148,37.69893959,0,85,0,70.66098075,155.6628532,41.12047924
0,0,0,119.3484268,12.48811525,37.69893959,0,85,0,71.61888468,154.69181,40.92009727
0,0,0,119.4726557,11.23763956,37.69893959,0,85,0,72.55892527,153.7125563,40.72287782
0,0,0,119.5837831,9.985931533,37.69893959,0,85,0,73.4811915,152.7253832,40.52872078
0,0,0,119.6817967,8.733128438,37.69893959,0,85,0,74.38577261,151.7305767,40.33752913
0,0,0,119.7666859,7.479367657,37.69893959,0,85,0,75.27275811,150.7284179,40.14920885
0,0,0,119.8384414,6.224786679,37.69893959,0,85,0,76.14223777,149.7191831,39.96366879
0,0,0,119.8970552,4.969523083,37.69893959,0,85,0,76.99430168,148.7031439,39.78082052
0,0,0,119.9425209,3.713714523,37.69893959,0,85,0,77.82904017,147.6805674,39.60057825
0,0,0,119.9748336,2.457498712,37.69893959,0,85,0,78.64654391,146.6517166,39.42285875
0,0,0,119.9939897,1.201013409,37.69893959,0,85,0,79.44690388,145.6168499,39.24758118
0,0,0,119.9999871,-0.055603599,37.69893959,0,85,0,80.23021137,144.5762219,39.07466708
0,0,0,119.9928252,-1.312214509,37.69893959,0,85,0,80.99655803,143.530083,38.90404019
0,0,0,119.9725047,-2.56868152,37.69893959,0,85,0,81.74603584,142.47868,38.73562645
0,0,0,119.9390278,-3.824866846,37.69893959,0,85,0,82.47873716,141.4222558,38.56935385
0,0,0,119.8923983,-5.080632733,37.69893959,0,85,0,83.19475474,140.3610496,38.40515238
0,0,0,119.8326212,-6.335841471,37.69893959,0,85,0,83.89418171,139.2952972,38.24295397
0,0,0,119.7597032,-7.590355412,37.69893959,0,85,0,84.57711162,138.225231,38.08269236
0,0,0,119.6736521,-8.844036986,37.69893959,0,85,0,85.24363843,137.1510799,37.9243031
